Date	Price	Open	High	Low	Volume	Change %
"May 21, 2018"	69685.00	71602.00	71806.00	69407.00	59069.00	-2.68
"May 20, 2018"	71602.00	69673.00	72292.00	6887.00	70263.00	2.77
"May 19, 2018"	69676.00	69328.00	71651.00	68338.00	73231.00	0.05
"May 18, 2018"	69328.00	66898.00	69424.00	65825.00	90693.00	3.63
"May 17, 2018"	66897.00	70653.00	7185.00	66391.00	95369.00	-5.32
"May 16, 2018"	70653.00	70573.00	71049.00	66751.00	97818.00	0.11
"May 15, 2018"	70573.00	72706.00	73871.00	69663.00	103000.00	-2.93
"May 14, 2018"	72706.00	72941.00	74152.00	68716.00	139000.00	-0.32
"May 13, 2018"	72937.00	68477.00	73967.00	6692.00	101000.00	6.64
"May 12, 2018"	68394.00	67697.00	68983.00	63523.00	134000.00	1.14
"May 11, 2018"	67621.00	72436.00	73658.00	66581.00	163000.00	-6.65
"May 10, 2018"	7244.00	75198.00	76824.00	72339.00	98314.00	-3.62
"May 09, 2018"	75162.00	74798.00	75971.00	71149.00	107000.00	0.42
"May 08, 2018"	74848.00	75935.00	76143.00	72149.00	114000.00	-0.74
"May 07, 2018"	75403.00	79329.00	7973.00	7004.00	212000.00	-4.94
"May 06, 2018"	79319.00	81875.00	83826.00	75509.00	116000.00	-3.07
"May 05, 2018"	81833.00	78529.00	83003.00	78218.00	100000.00	4.22
"May 04, 2018"	7852.00	77897.00	8069.00	7601.00	124000.00	0.08
"May 03, 2018"	77895.00	68823.00	78861.00	68679.00	155000.00	13.19
"May 02, 2018"	68815.00	67131.00	69097.00	66429.00	87398.00	2.52
"May 01, 2018"	67126.00	67012.00	67436.00	63033.00	103000.00	0.18
"Apr 30, 2018"	67007.00	68983.00	69385.00	66403.00	91386.00	-2.87
"Apr 29, 2018"	6899.00	68349.00	70005.00	66915.00	85612.00	0.94
"Apr 28, 2018"	68349.00	64396.00	69379.00	64092.00	87155.00	6.14
"Apr 27, 2018"	64397.00	66165.00	68554.00	64184.00	106000.00	-2.78
"Apr 26, 2018"	66236.00	61737.00	6652.00	60069.00	137000.00	7.29
"Apr 25, 2018"	61736.00	70294.00	70325.00	59498.00	272000.00	-12.18
"Apr 24, 2018"	70302.00	64408.00	71174.00	64405.00	148000.00	9.14
"Apr 23, 2018"	64413.00	62201.00	64858.00	61981.00	85964.00	3.52
"Apr 22, 2018"	62223.00	60558.00	64358.00	59178.00	102000.00	2.75
"Apr 21, 2018"	60559.00	6171.00	62386.00	57473.00	123000.00	-1.86
"Apr 20, 2018"	61704.00	5677.00	62058.00	55827.00	142000.00	8.73
"Apr 19, 2018"	56749.00	52574.00	57015.00	52215.00	104000.00	7.96
"Apr 18, 2018"	52566.00	50324.00	52641.00	50202.00	75915.00	4.47
"Apr 17, 2018"	50319.00	51175.00	52086.00	50173.00	82671.00	-1.69
"Apr 16, 2018"	51182.00	53389.00	53732.00	49887.00	103000.00	-4.14
"Apr 15, 2018"	5339.00	50252.00	53418.00	50252.00	98829.00	6.24
"Apr 14, 2018"	50252.00	49436.00	51414.00	48689.00	92464.00	1.83
"Apr 13, 2018"	49348.00	49425.00	52871.00	48219.00	167000.00	-0.11
"Apr 12, 2018"	49403.00	43013.00	49813.00	41407.00	186000.00	14.85
"Apr 11, 2018"	43014.00	41543.00	43325.00	41235.00	82717.00	3.54
"Apr 10, 2018"	41545.00	39904.00	41784.00	39181.00	70922.00	4.11
"Apr 09, 2018"	39905.00	40067.00	43085.00	38805.00	130000.00	-0.41
"Apr 08, 2018"	40071.00	38485.00	40371.00	38485.00	56926.00	4.12
"Apr 07, 2018"	38487.00	36997.00	39466.00	36941.00	6004.00	4.03
"Apr 06, 2018"	36997.00	38169.00	3857.00	36383.00	7008.00	-3.03
"Apr 05, 2018"	38152.00	37862.00	38691.00	36721.00	90327.00	0.75
"Apr 04, 2018"	37868.00	41558.00	41638.00	37135.00	112000.00	-8.87
"Apr 03, 2018"	41555.00	38502.00	41878.00	38089.00	106000.00	7.92
"Apr 02, 2018"	38507.00	37885.00	39394.00	37567.00	82481.00	1.67
"Apr 01, 2018"	37875.00	3941.00	39946.00	35949.00	124000.00	-3.86
"Mar 31, 2018"	39396.00	39375.00	41907.00	39009.00	121000.00	0.04
"Mar 30, 2018"	39379.00	38413.00	41117.00	36612.00	196000.00	2.52
"Mar 29, 2018"	38412.00	44686.00	44933.00	38085.00	201000.00	-14.03
"Mar 28, 2018"	44684.00	44873.00	46509.00	44084.00	91812.00	-0.37
"Mar 27, 2018"	44848.00	48597.00	49177.00	4467.00	131000.00	-7.72
"Mar 26, 2018"	48598.00	52346.00	52622.00	46746.00	115000.00	-7.17
"Mar 25, 2018"	5235.00	52044.00	53511.00	51305.00	49585.00	0.59
"Mar 24, 2018"	52045.00	54315.00	54515.00	52005.00	55462.00	-4.23
"Mar 23, 2018"	54342.00	5399.00	54351.00	50836.00	87189.00	0.66
"Mar 22, 2018"	53987.00	5599.00	57763.00	51781.00	88795.00	-3.63
"Mar 21, 2018"	56024.00	55709.00	58983.00	54587.00	101000.00	0.57
"Mar 20, 2018"	55708.00	55575.00	56663.00	51702.00	116000.00	0.17
"Mar 19, 2018"	55616.00	53672.00	55833.00	51631.00	146000.00	3.62
"Mar 18, 2018"	53672.00	54996.00	55919.00	4549.00	256000.00	-2.46
"Mar 17, 2018"	55027.00	60048.00	60948.00	54451.00	77754.00	-8.41
"Mar 16, 2018"	60079.00	61036.00	62534.00	58584.00	69558.00	-1.53
"Mar 15, 2018"	61013.00	61208.00	62001.00	57269.00	99189.00	-0.32
"Mar 14, 2018"	61209.00	68967.00	70253.00	5871.00	99048.00	-11.24
"Mar 13, 2018"	68957.00	69706.00	7138.00	68001.00	55873.00	-1.07
"Mar 12, 2018"	69704.00	72012.00	73925.00	67827.00	66459.00	-0.32
"Mar 11, 2018"	72012.00	68277.00	73333.00	66453.00	69094.00	5.51
"Mar 10, 2018"	68252.00	7257.00	74613.00	67846.00	6738.00	-5.97
"Mar 09, 2018"	72589.00	69891.00	72883.00	64446.00	113000.00	3.85
"Mar 08, 2018"	69896.00	75009.00	77223.00	68941.00	85015.00	-0.68
