Date	Price	Open	High	Low	Vol.	Change %
"May 21, 2018"	0.023632	0.023871	0.023889	0.023179	9.92	-0.01
"May 20, 2018"	0.02388	0.024	0.024125	0.023798	6.44	-0.01
"May 19, 2018"	0.024	0.024755	0.024845	0.0239	9.92	-0.03
"May 18, 2018"	0.024749	0.023625	0.0257	0.0232	23.15	0.05
"May 17, 2018"	0.023673	0.02381	0.02433	0.023603	9.18	-0.01
"May 16, 2018"	0.023805	0.023965	0.024133	0.023564	9.20	-0.01
"May 15, 2018"	0.023965	0.024553	0.024995	0.0238	11.43	-0.02
"May 14, 2018"	0.024553	0.02389	0.0248	0.023522	13.24	0.03
"May 13, 2018"	0.02389	0.023715	0.024564	0.0237	7.60	0.01
"May 12, 2018"	0.023715	0.023422	0.023951	0.023125	9.70	0.01
"May 11, 2018"	0.023422	0.024001	0.024051	0.023015	13.99	-0.02
"May 10, 2018"	0.024001	0.024294	0.024987	0.024001	10.74	-0.01
"May 09, 2018"	0.024294	0.024341	0.0251	0.023925	8.25	0.00
"May 08, 2018"	0.024341	0.024832	0.024985	0.024059	10.34	-0.02
"May 07, 2018"	0.024888	0.02443	0.025098	0.023989	13.60	0.02
"May 06, 2018"	0.02447	0.0245	0.025359	0.0243	10.54	0.00
"May 05, 2018"	0.0245	0.024945	0.025792	0.0245	18.93	-0.02
"May 04, 2018"	0.024945	0.025175	0.025785	0.024726	16.00	-0.01
"May 03, 2018"	0.025175	0.026913	0.02699	0.025016	21.10	-0.06
"May 02, 2018"	0.026913	0.02629	0.0275	0.026281	14.58	0.02
"May 01, 2018"	0.02629	0.02602	0.026691	0.02562	11.17	0.01
"Apr 30, 2018"	0.026065	0.02714	0.0276	0.0259	21.53	-0.04
"Apr 29, 2018"	0.02714	0.027865	0.02794	0.026349	20.90	-0.03
"Apr 28, 2018"	0.027865	0.02805	0.028397	0.0273	13.01	-0.01
"Apr 27, 2018"	0.02805	0.0289	0.028997	0.027559	17.48	-0.03
